flexibility;edge;start;end;ends;length;diameter;dead_volume;restriction;status;
fixed;0004-XX-1;M1.0;M1.1;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-2;M1.0;M1.2;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-3;M1.0;M1.3;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-4;M1.0;M1.4;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-5;M1.0;M1.5;XX;14.77;1.00;0.0116;undirected;empty;
fixed;0000-XX-13;densioViscoIN;densioViscoOUT;XX;400.4;2.4;5;directed;empty;"measuring cell densiometer: 225 mm 2.4 mm diameter; PTFE tubing: 35.4 mm; diameter 2 mm; Lovis capillary: 140 mm, diameter 1.59 mm; length is given as sum of the parts, diameter given is maximum of the parts; dead volume is given as 5 mL, since this is reqired for densio and visco based on experience; in the data, the volume lost in the black filling adapters is not contained"
fixed;0000-XX-1;A0.1;Av1;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-2;A0.1;Av2;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-3;B0.1;Bv1;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-4;B0.1;Bv2;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-5;C0.1;Cv1;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-6;C0.1;Cv2;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-7;D0.1;Dv1;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-8;D0.1;Dv2;XX;106.1;0.6;0.03;undirected;empty;
fixed;0000-XX-9;E0.1;Ev1;XX;106.10;0.6;0.0300;undirected;empty;
fixed;0000-XX-10;E0.1;Ev2;XX;106.10;0.6;0.0300;undirected;empty;
available;0289-NN-3;not_fixed;not_fixed;NN;289;0.3;0.0204;undirected;empty;
available;0289-NN-1;not_fixed;not_fixed;NN;289;0.3;0.0204;undirected;empty;
available;0290-NN-4;not_fixed;not_fixed;NN;290;0.3;0.0205;undirected;empty;
available;0290-NN-2;not_fixed;not_fixed;NN;290;0.3;0.0205;undirected;empty;
available;0290-NN-6;not_fixed;not_fixed;NN;290;0.3;0.0205;undirected;empty;
available;0290-NN-5;not_fixed;not_fixed;NN;290;0.3;0.0205;undirected;empty;
available;0500-NC-3;not_fixed;not_fixed;NC;500;0.3;0.0353;undirected;empty;
available;0490-NC-6;not_fixed;not_fixed;NC;500;0.3;0.0353;undirected;empty;
available;0500-NC-5;not_fixed;not_fixed;NC;500;0.3;0.0353;undirected;empty;
available;0498-NC-1;not_fixed;not_fixed;NC;500;0.3;0.0353;undirected;empty;
available;0498-NC-2;not_fixed;not_fixed;NC;300;0.3;0.0212;undirected;empty;
available;0500-NC-4;not_fixed;not_fixed;NC;300;0.3;0.0212;undirected;empty;
available;0404-NT-1;not_fixed;not_fixed;NT;404;0.3;0.0286;undirected;empty;
available;0494-CT-3;not_fixed;not_fixed;CT;494;0.3;0.0349;undirected;empty;
available;2602-NT-1;not_fixed;not_fixed;NT;2602;1.6;5.2316;undirected;empty;
available;3439-NT-2;not_fixed;not_fixed;NT;3439;1.6;6.9145;undirected;empty;
available;1395-CT-1;not_fixed;not_fixed;CT;1395;0.3;0.0986;undirected;empty;
fixed;0004-XX-21;V3.0;V3.1;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-22;V3.0;V3.2;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-23;V3.0;V3.3;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-24;V3.0;V3.4;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-25;V3.0;V3.5;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-26;V3.0;V3.6;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-27;V3.0;V3.7;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-28;V3.0;V3.8;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-29;V3.0;V3.9;XX;14.77;1;0.0116;undirected;empty;
fixed;0004-XX-30;V3.0;V3.10;XX;14.77;1;0.0116;undirected;empty;
available;0215-NN-1;not_fixed;not_fixed;NN;215;0.3;0.0152;undirected;empty;
available;0216-NN-1;not_fixed;not_fixed;NN;216;0.3;0.0153;undirected;empty;
available;0213-NN-1;not_fixed;not_fixed;NN;213;0.3;0.0151;undirected;empty;
available;0216-NN-2;not_fixed;not_fixed;NN;216;0.3;0.0153;undirected;empty;
available;0214-NN-1;not_fixed;not_fixed;NN;214;0.3;0.0151;undirected;empty;
