node;position_node
A0.0;(0,-6)
A0.1;(-0.2,-6)
Av1;(-0.4,-6.1)
Av2;(-0.4,-5.9)
B0.0;(0,-5)
B0.1;(-0.2,-5)
Bv1;(-0.4,-5.1)
Bv2;(-0.4,-4.9)
C0.0;(0,-4)
C0.1;(-0.2,-4)
Cv1;(-0.4,-4.1)
Cv2;(-0.4,-3.9)
D0.0;(0,-3)
D0.1;(-0.2,-3)
Dv1;(-0.4,-3.1)
Dv2;(-0.4,-2.9)
E0.0;(0,-2)
E0.1;(-0.2,-2)
Ev1;(-0.4,-2.1)
Ev2;(-0.4,-1.9)
V3.0;(-3,0)
V3.1;(-3.19,-0.06)
V3.2;(-3.12,-0.16)
V3.3;(-3,-0.2)
V3.4;(-2.88,-0.16)
V3.5;(-2.81,-0.06)
V3.6;(-2.81,0.06)
V3.7;(-2.88,0.16)
V3.8;(-3,0.2)
V3.9;(-3.12,0.16)
V3.10;(-3.19,0.06)
M1.0;(-1,0)
M1.1;(-1.19,-0.06)
M1.2;(-1.12,-0.16)
M1.3;(-1,-0.2)
M1.4;(-0.88,-0.16)
M1.5;(-0.81,-0.06)
densioViscoIN;(-10.9,0)
densioViscoOUT;(-11.1,0)
Reservoir1;(-3.4,-0.5)
Reservoir2;(-3.3,-0.5)
Reservoir3;(-3.2,-0.5)
Reservoir4;(-3.1,-0.5)
Reservoir5;(-2.9,-0.5)
Reservoir6;(-2.8,-0.5)
