node;position_node
A0.0;(0,-6)
A0.1;(-0.2,-6)
Av1;(-0.4,-6.1)
Av2;(-0.4,-5.9)
AY1;(-0.6,-5.9)
AY2;(-0.8,-5.8)
AY3;(-0.8,-6.1)
B0.0;(0,-5)
B0.1;(-0.2,-5)
Bv1;(-0.4,-5.1)
Bv2;(-0.4,-4.9)
BY1;(-0.6,-4.9)
BY2;(-0.8,-4.8)
BY3;(-0.8,-5.1)
C0.0;(0,-4)
C0.1;(-0.2,-4)
Cv1;(-0.4,-4.1)
Cv2;(-0.4,-3.9)
CY1;(-0.6,-3.9)
CY2;(-0.8,-3.8)
CY3;(-0.8,-4.1)
D0.0;(0,-3)
D0.1;(-0.2,-3)
Dv1;(-0.4,-3.1)
Dv2;(-0.4,-2.9)
DY1;(-0.6,-2.9)
DY2;(-0.8,-2.8)
DY3;(-0.8,-3.1)
E0.0;(0,-2)
E0.1;(-0.2,-2)
Ev1;(-0.4,-2.1)
Ev2;(-0.4,-1.9)
EY1;(-0.6,-1.9)
EY2;(-0.8,-1.8)
EY3;(-0.8,-2.1)
F0.0;(0,-1)
F0.1;(-0.2,-1)
Fv1;(-0.4,-1.1)
Fv2;(-0.4,-0.9)
FY1;(-0.6,-0.9)
FY2;(-0.8,-0.8)
FY3;(-0.8,-1.1)
V1.0;(-1,0)
V1.1;(-1.19,-0.06)
V1.2;(-1.12,-0.16)
V1.3;(-1,-0.2)
V1.4;(-0.88,-0.16)
V1.5;(-0.81,-0.06)
V1.6;(-0.81,0.06)
V1.7;(-0.88,0.16)
V1.8;(-1,0.2)
V1.9;(-1.12,0.16)
V1.10;(-1.19,0.06)
V2.0;(-2,0)
V2.1;(-2.19,-0.06)
V2.2;(-2.12,-0.16)
V2.3;(-2,-0.2)
V2.4;(-1.88,-0.16)
V2.5;(-1.81,-0.06)
V2.6;(-1.81,0.06)
V2.7;(-1.88,0.16)
V2.8;(-2,0.2)
V2.9;(-2.12,0.16)
V2.10;(-2.19,0.06)
V3.0;(-3,0)
V3.1;(-3.19,-0.06)
V3.2;(-3.12,-0.16)
V3.3;(-3,-0.2)
V3.4;(-2.88,-0.16)
V3.5;(-2.81,-0.06)
V3.6;(-2.81,0.06)
V3.7;(-2.88,0.16)
V3.8;(-3,0.2)
V3.9;(-3.12,0.16)
V3.10;(-3.19,0.06)
V4.0;(-4,0)
V4.1;(-4.19,-0.06)
V4.2;(-4.12,-0.16)
V4.3;(-4,-0.2)
V4.4;(-3.88,-0.16)
V4.5;(-3.81,-0.06)
V4.6;(-3.81,0.06)
V4.7;(-3.88,0.16)
V4.8;(-4,0.2)
V4.9;(-4.12,0.16)
V4.10;(-4.19,0.06)
V5.0;(-5,0)
V5.1;(-5.19,-0.06)
V5.2;(-5.12,-0.16)
V5.3;(-5,-0.2)
V5.4;(-4.88,-0.16)
V5.5;(-4.81,-0.06)
V5.6;(-4.81,0.06)
V5.7;(-4.88,0.16)
V5.8;(-5,0.2)
V5.9;(-5.12,0.16)
V5.10;(-5.19,0.06)
V6.0;(-6,0)
V6.1;(-6.19,-0.06)
V6.2;(-6.12,-0.16)
V6.3;(-6,-0.2)
V6.4;(-5.88,-0.16)
V6.5;(-5.81,-0.06)
V6.6;(-5.81,0.06)
V6.7;(-5.88,0.16)
V6.8;(-6,0.2)
V6.9;(-6.12,0.16)
V6.10;(-6.19,0.06)
uvVisIN;(-7.9,0)
nmrIN;(-9.9,0)
densioViscoIN;(-10.9,0)
uvVisOUT;(-8.1,0)
nmrOUT;(-10.1,0)
densioViscoOUT;(-11.1,0)
Reservoir1;(-3.4,-0.5)
Reservoir2;(-3.3,-0.5)
Reservoir3;(-3.2,-0.5)
Reservoir4;(-3.1,-0.5)
Reservoir5;(-2.9,-0.5)
Reservoir6;(-2.8,-0.5)
Reservoir7;(-2.7,-0.5)
Reservoir8;(-2.6,-0.5)
Q-1;(-8.9,0)
Q-2;(-9.0,0)
Q-3;(-9.1,0)
Q+Chip1;(-6.9,0.1)
Q+Chip2;(-6.9,0.2)
Q+Chip3;(-7.0,0.2)
Q+Chip4;(-7.1,0.2)
Q+Chip5;(-7.1,0.1)
Q+Chip6;(-6.9,-0.1)
Q+Chip7;(-6.9,-0.2)
Q+Chip8;(-7,-0.2)
Q+Chip9;(-7.1,-0.2)
Q+Chip10;(-7.1,-0.1)
