start_node;edge;end_node
A0.0;0215-NN-1;A0.1
B0.0;0216-NN-1;B0.1
C0.0;0213-NN-1;C0.1
D0.0;0216-NN-2;D0.1
E0.0;0214-NN-1;E0.1
F0.0;0216-NN-3;F0.1
Av1;0502-NT-1;V1.1
Bv1;0382-NT-1;V1.2
Cv1;0343-NT-1;V1.3
Dv1;0291-NT-1;V1.4
Ev1;0265-NT-1;V1.5
Fv1;0256-NT-1;V1.6
Av2;0100-NN-1;AY1
Bv2;0100-NN-2;BY1
Cv2;0100-NN-3;CY1
Dv2;0100-NN-4;DY1
Ev2;0100-NN-5;EY1
Fv2;0100-NN-6;FY1
AY2;0540-NT-1;V2.1
BY2;0494-NT-1;V2.2
CY2;0476-NT-1;V2.3
DY2;0425-NT-1;V2.4
EY2;0404-NT-1;V2.5
FY2;0312-NT-1;V2.6
AY3;0636-NT-1;V4.1
BY3;0557-NT-1;V4.2
CY3;0533-NT-1;V4.3
DY3;0532-NT-1;V4.4
EY3;0405-NT-1;V4.5
FY3;0391-NT-1;V4.6
V4.0;0288-TT-1;V6.0
V2.7;0255-TT-1;V3.0
V2.10;0267-TT-1;V5.0
V1.0;0192-TT-1;V2.0
V3.1;0476-CT-1;Reservoir1
V3.2;0485-CT-1;Reservoir2
V3.3;0490-CT-1;Reservoir3
V3.4;0493-CT-1;Reservoir4
V3.5;0493-CT-2;Reservoir5
V3.6;0494-CT-2;Reservoir6
V3.7;0494-CT-3;Reservoir7
V3.8;0495-CT-1;Reservoir8
V5.1;0428-FT-1;Q-1
V5.2;0429-FT-1;Q-2
V5.3;5630-TT-1;V6.2
V5.4;0345-FT-1;Q+Chip1
V5.5;0344-FT-1;Q+Chip2
V5.6;0345-FT-2;Q+Chip3
V5.7;0344-FT-2;Q+Chip4
V5.8;0347-CT-2;lambdaIN
V5.9;0908-NT-1;NMRin
V6.1;0432-FT-2;Q-3
V6.3;0345-FT-3;Q+Chip6
V6.4;0335-FT-1;Q+Chip7
V6.5;0345-FT-4;Q+Chip8
V6.6;0332-FT-1;Q+Chip9
V6.7;0345-FT-5;Q+Chip10
V6.8;0349-CT-1;lambdaOUT
V6.9;0841-NT-1;NMRout
