node;position_node
A0.0;(0,-6)
A0.1;(-0.2,-6)
Av.1;(-0.4,-6.1)
Av.0;(-0.4,-5.9)
B0.0;(0,-5)
B0.1;(-0.2,-5)
Bv.1;(-0.4,-5.1)
Bv.0;(-0.4,-4.9)
C0.0;(0,-4)
C0.1;(-0.2,-4)
Cv.1;(-0.4,-4.1)
Cv.0;(-0.4,-3.9)
D0.0;(0,-3)
D0.1;(-0.2,-3)
Dv.1;(-0.4,-3.1)
Dv.0;(-0.4,-2.9)
E0.0;(0,-2)
E0.1;(-0.2,-2)
Ev.1;(-0.4,-2.1)
Ev.0;(-0.4,-1.9)
F0.0;(0,-1)
F0.1;(-0.2,-1)
Fv.1;(-0.4,-1.1)
Fv.0;(-0.4,-0.9)
V1.0;(-1,0)
V1.1;(-1.19,-0.06)
V1.2;(-1.12,-0.16)
V1.3;(-1,-0.2)
V1.4;(-0.88,-0.16)
V1.5;(-0.81,-0.06)
V1.6;(-0.81,0.06)
V1.7;(-0.88,0.16)
V1.8;(-1,0.2)
V1.9;(-1.12,0.16)
V1.10;(-1.19,0.06)
V2.0;(-2,0)
V2.1;(-2.19,-0.06)
V2.2;(-2.12,-0.16)
V2.3;(-2,-0.2)
V2.4;(-1.88,-0.16)
V2.5;(-1.81,-0.06)
V2.6;(-1.81,0.06)
V2.7;(-1.88,0.16)
V2.8;(-2,0.2)
V2.9;(-2.12,0.16)
V2.10;(-2.19,0.06)
V3.0;(-3,0)
V3.1;(-3.19,-0.06)
V3.2;(-3.12,-0.16)
V3.3;(-3,-0.2)
V3.4;(-2.88,-0.16)
V3.5;(-2.81,-0.06)
V3.6;(-2.81,0.06)
V3.7;(-2.88,0.16)
V3.8;(-3,0.2)
V3.9;(-3.12,0.16)
V3.10;(-3.19,0.06)
V4.0;(-4,0)
V4.1;(-4.19,-0.06)
V4.2;(-4.12,-0.16)
V4.3;(-4,-0.2)
V4.4;(-3.88,-0.16)
V4.5;(-3.81,-0.06)
V4.6;(-3.81,0.06)
V4.7;(-3.88,0.16)
V4.8;(-4,0.2)
V4.9;(-4.12,0.16)
V4.10;(-4.19,0.06)
V5.0;(-5,0)
V5.1;(-5.19,-0.06)
V5.2;(-5.12,-0.16)
V5.3;(-5,-0.2)
V5.4;(-4.88,-0.16)
V5.5;(-4.81,-0.06)
V5.6;(-4.81,0.06)
V5.7;(-4.88,0.16)
V5.8;(-5,0.2)
V5.9;(-5.12,0.16)
V5.10;(-5.19,0.06)
V6.0;(-6,0)
V6.1;(-6.19,-0.06)
V6.2;(-6.12,-0.16)
V6.3;(-6,-0.2)
V6.4;(-5.88,-0.16)
V6.5;(-5.81,-0.06)
V6.6;(-5.81,0.06)
V6.7;(-5.88,0.16)
V6.8;(-6,0.2)
V6.9;(-6.12,0.16)
V6.10;(-6.19,0.06)
V7.0;(-7,0)
V7.1;(-7.19,-0.06)
V7.2;(-7.12,-0.16)
V7.3;(-7,-0.2)
V7.4;(-6.88,-0.16)
V7.5;(-6.81,-0.06)
V7.6;(-6.81,0.06)
V7.7;(-6.88,0.16)
V7.8;(-7,0.2)
V7.9;(-7.12,0.16)
V7.10;(-7.19,0.06)
V8.0;(-8,0)
V8.1;(-8.19,-0.06)
V8.2;(-8.12,-0.16)
V8.3;(-8,-0.2)
V8.4;(-7.88,-0.16)
V8.5;(-7.81,-0.06)
V8.6;(-7.81,0.06)
V8.7;(-7.88,0.16)
V8.8;(-8,0.2)
V8.9;(-8.12,0.16)
V8.10;(-8.19,0.06)
V9.0;(-9,0)
V9.1;(-9.19,-0.06)
V9.2;(-9.12,-0.16)
V9.3;(-9,-0.2)
V9.4;(-8.88,-0.16)
V9.5;(-8.81,-0.06)
V9.6;(-8.81,0.06)
V9.7;(-8.88,0.16)
V9.8;(-9,0.2)
V9.9;(-9.12,0.16)
V9.10;(-9.19,0.06)
V10.0;(-10,-2)
V10.1;(-10.19,-2.06)
V10.2;(-10.12,-2.16)
V10.3;(-10,-2.2)
V10.4;(-9.88,-2.16)
V10.5;(-9.81,-2.06)
V10.6;(-9.81,-1.94)
V10.7;(-9.88,-1.84)
V10.8;(-10,-1.8)
V10.9;(-10.12,-1.84)
V10.10;(-10.19,-1.94)
uvVisIN;(-10.9,-5)
nmrIN;(-9.2,2)
densioViscoIN;(-9.2,3)
uvVisOUT;(-11.1,-5)
nmrOUT;(-9.8,2)
densioViscoOUT;(-9.8,3)
Reservoir1;(-1.19,-2)
Reservoir2;(-2.19,-2)
Reservoir3;(-3.19,-2)
Reservoir4;(-4.19,-2)
Reservoir5;(-5.19,-2)
Reservoir6;(-6.19,-2)
Solvent1;(-1.12,-2.5)
Solvent2;(-2.12,-2.5)
Solvent3;(-3.12,-2.5)
Solvent4;(-4.12,-2.5)
Solvent5;(-5.12,-2.5)
Solvent6;(-6.12,-2.5)
waste_1;(-12,0)
waste_2;(-10.19,-2)
Q-1;(-10.8,-6)
Q-2;(-11,-6)
Q-3;(-11.2,-6)
Q+Chip1;(-10.9,-7.1)
Q+Chip2;(-10.9,-7.2)
Q+Chip3;(-11.0,-7.2)
Q+Chip4;(-11.1,-7.2)
Q+Chip5;(-11.1,-7.1)
Q+Chip6;(-10.9,-7.1)
Q+Chip7;(-10.9,-7.2)
Q+Chip8;(-10,-7.2)
Q+Chip9;(-10.1,-7.2)
Q+Chip10;(-10.1,-7.1)
M1.0;(-1,-3)
M1.1;(-1.19,-3.06)
M1.2;(-1.12,-3.16)
M1.3;(-1,-3.2)
M1.4;(-0.88,-2.94)
M1.5;(-0.81,-2.84)
M1.6;(-0.62,-2.96)
ambient;(1,1)
