start;edge;end
A0.0;0215-NN-1;A0.1
B0.0;0216-NN-2;B0.1
C0.0;0213-NN-3;C0.1
D0.0;0216-NN-4;D0.1
E0.0;0214-NN-5;E0.1
F0.0;0216-NN-6;F0.1
Av.1;0289-NN-3;M1.6
Bv.1;0289-NN-1;M1.5
Cv.1;0290-NN-4;M1.4
Dv.1;0290-NN-2;M1.3
Ev.1;0290-NN-6;M1.2
Fv.1;0290-NN-5;M1.1
Av.0;0500-NC-3;V6.0
Bv.0;0490-NC-6;V5.0
Cv.0;0500-NC-5;V4.0
Dv.0;0498-NC-1;V3.0
Ev.0;0498-NC-2;V2.0
Fv.0;0500-NC-4;V1.0
V1.10;0999-CC-4;waste_1
V2.10;1000-CC-5;waste_1
V3.10;0999-CC-2;waste_1
V4.10;1000-CC-3;waste_1
V5.10;0998-CC-1;waste_1
V6.10;0999-CC-6;waste_1
V1.9;0040-CC-1;ambient
V2.9;0040-CC-2;ambient
V3.9;0040-CC-3;ambient
V4.9;0040-CC-4;ambient
V5.9;0040-CC-5;ambient
V6.9;0040-CC-6;ambient
V1.1;0488-CC-2;Reservoir1
V2.1;0489-CC-3;Reservoir2
V3.1;0487-CC-6;Reservoir3
V4.1;0488-CC-4;Reservoir4
V5.1;0489-CC-11;Reservoir5
V6.1;0489-CC-12;Reservoir6
V1.2;0487-CC-5;Solvent1
V2.2;0489-CC-8;Solvent2
V3.2;0489-CC-7;Solvent3
V4.2;0490-CC-1;Solvent4
V5.2;0489-CC-9;Solvent5
V6.2;0489-CC-13;Solvent6
V8.10;0707-CC-1;waste_1
M1.0;0404-NT;V7.1
V7.0;0255-TT;V8.0
V8.9;2622-NT-2;nmrIN
V8.8;2602-NT-1;densioViscoIN
V9.9;5264-NT-1;nmrOUT
V9.8;3439-NT-2;densioViscoOUT
V9.0;0300-CC-2;V10.0
V10.10;0797-CC-1;waste_1
V10.9;0488-CC-3;waste_2
V9.1;0603-FT-3;Q-3
V9.3;0591-FT-5;Q+Chip6
V9.4;0590-FT-6;Q+Chip7
V9.5;0589-FT-7;Q+Chip8
V9.6;0588-FT-8;Q+Chip9
V9.7;0592-FT-9;Q+Chip10
V8.1;0597-FT-1;Q-1
V8.2;0603-FT-2;Q-2
V8.4;0590-FT-1;Q+Chip6
V8.5;0591-FT-2;Q+Chip7
V8.6;0592-FT-3;Q+Chip8
V8.7;0593-FT-4;Q+Chip9
